smoker,charges
yes,16884.924
no,1725.5523
no,4449.462
no,21984.47061
no,3866.8552
no,3756.6216
no,8240.5896
no,7281.5056
no,6406.4107
no,28923.13692
no,2721.3208
yes,27808.7251
no,1826.843
no,11090.7178
yes,39611.7577
no,1837.237
no,10797.3362
no,2395.17155
no,10602.385
yes,36837.467
no,13228.84695
no,4149.736
no,1137.011
yes,37701.8768
no,6203.90175
no,14001.1338
no,14451.83515
no,12268.63225
no,2775.19215
yes,38711
yes,35585.576
no,2198.18985
no,4687.797
no,13770.0979
yes,51194.55914
no,1625.43375
no,15612.19335
no,2302.3
yes,39774.2763
yes,48173.361
no,3046.062
no,4949.7587
no,6272.4772
no,6313.759
no,6079.6715
no,20630.28351
no,3393.35635
no,3556.9223
no,12629.8967
yes,38709.176
no,2211.13075
no,3579.8287
yes,23568.272
yes,37742.5757
no,8059.6791
yes,47496.49445
no,13607.36875
yes,34303.1672
yes,23244.7902
no,5989.52365
no,8606.2174
no,4504.6624
no,30166.61817
no,4133.64165
yes,14711.7438
no,1743.214
no,14235.072
no,6389.37785
no,5920.1041
yes,17663.1442
yes,16577.7795
no,6799.458
no,11741.726
no,11946.6259
no,7726.854
no,11356.6609
no,3947.4131
no,1532.4697
no,2755.02095
no,6571.02435
no,4441.21315
no,7935.29115
yes,37165.1638
no,11033.6617
yes,39836.519
yes,21098.55405
yes,43578.9394
no,11073.176
no,8026.6666
no,11082.5772
no,2026.9741
no,10942.13205
yes,30184.9367
no,5729.0053
yes,47291.055
no,3766.8838
no,12105.32
no,10226.2842
yes,22412.6485
yes,15820.699
no,6186.127
no,3645.0894
no,21344.8467
yes,30942.1918
no,5003.853
yes,17560.37975
no,2331.519
no,3877.30425
no,2867.1196
yes,47055.5321
no,10825.2537
no,11881.358
no,4646.759
no,2404.7338
no,11488.31695
no,30259.99556
no,11381.3254
yes,19107.7796
no,8601.3293
no,6686.4313
no,7740.337
no,1705.6245
no,2257.47525
yes,39556.4945
no,10115.00885
no,3385.39915
yes,17081.08
no,9634.538
yes,32734.1863
no,6082.405
no,12815.44495
no,13616.3586
no,11163.568
no,1632.56445
no,2457.21115
no,2155.6815
no,1261.442
no,2045.68525
no,27322.73386
no,2166.732
no,27375.90478
no,3490.5491
yes,18972.495
no,18157.876
yes,20745.9891
no,5138.2567
yes,40720.55105
no,9877.6077
no,10959.6947
no,1842.519
no,5125.2157
no,7789.635
no,6334.34355
yes,19964.7463
no,7077.1894
no,6948.7008
yes,21223.6758
yes,15518.18025
yes,36950.2567
no,19749.38338
yes,21348.706
yes,36149.4835
no,10450.552
no,5152.134
no,5028.1466
no,10407.08585
no,4830.63
no,6128.79745
no,2719.27975
no,4827.90495
no,13405.3903
no,8116.68
no,1694.7964
no,5246.047
no,2855.43755
yes,48824.45
no,6455.86265
no,10436.096
no,8823.279
no,8538.28845
no,11735.87905
no,1631.8212
no,4005.4225
no,7419.4779
no,7731.4271
yes,43753.33705
no,3981.9768
no,5325.651
no,6775.961
no,4922.9159
no,12557.6053
no,4883.866
no,2137.6536
no,12044.342
no,1137.4697
no,1639.5631
no,5649.715
no,8516.829
no,9644.2525
no,14901.5167
no,2130.6759
no,8871.1517
no,13012.20865
yes,37133.8982
no,7147.105
no,4337.7352
no,11743.299
yes,20984.0936
no,13880.949
no,6610.1097
no,1980.07
no,8162.71625
no,3537.703
no,5002.7827
no,8520.026
no,7371.772
no,10355.641
no,2483.736
no,3392.9768
no,25081.76784
no,5012.471
no,10564.8845
no,5253.524
yes,34779.615
yes,19515.5416
no,11987.1682
no,2689.4954
no,24227.33724
no,7358.17565
no,9225.2564
no,7443.64305
no,14001.2867
no,1727.785
no,12333.828
no,6710.1919
yes,19444.2658
no,1615.7667
no,4463.2051
yes,17352.6803
no,7152.6714
yes,38511.6283
no,5354.07465
no,35160.13457
no,7196.867
yes,29523.1656
no,24476.47851
no,12648.7034
no,1986.9334
no,1832.094
no,4040.55825
yes,12829.4551
yes,47305.305
yes,44260.7499
no,4260.744
yes,41097.16175
no,13047.33235
yes,43921.1837
no,5400.9805
no,11520.09985
yes,33750.2918
no,11837.16
yes,17085.2676
yes,24869.8368
yes,36219.40545
no,20462.99766
yes,46151.1245
yes,17179.522
no,14590.63205
no,7441.053
no,9282.4806
no,1719.4363
yes,42856.838
no,7265.7025
no,9617.66245
no,2523.1695
no,9715.841
no,2803.69785
no,2150.469
no,12928.7911
no,9855.1314
yes,22331.5668
yes,48549.17835
no,4237.12655
no,11879.10405
no,9625.92
no,7742.1098
no,9432.9253
no,14256.1928
yes,47896.79135
no,25992.82104
no,3172.018
no,20277.80751
yes,42112.2356
no,2156.7518
no,3906.127
no,1704.5681
yes,16297.846
yes,21978.6769
yes,38746.3551
no,9249.4952
no,6746.7425
yes,24873.3849
no,12265.5069
no,4349.462
no,12646.207
no,19442.3535
no,20177.67113
no,4151.0287
no,11944.59435
no,7749.1564
no,8444.474
no,1737.376
yes,42124.5153
no,8124.4084
yes,34838.873
no,9722.7695
no,8835.26495
no,10435.06525
no,7421.19455
no,4667.60765
no,4894.7533
no,24671.66334
yes,35491.64
no,11566.30055
no,2866.091
no,6600.20595
no,3561.8889
yes,42760.5022
yes,47928.03
no,9144.565
yes,48517.56315
yes,24393.6224
no,13429.0354
no,11658.37915
no,19144.57652
no,13822.803
no,12142.5786
no,13937.6665
yes,41919.097
no,8232.6388
no,18955.22017
no,13352.0998
no,13217.0945
no,13981.85035
no,10977.2063
no,6184.2994
no,4889.9995
no,8334.45755
no,5478.0368
no,1635.73365
no,11830.6072
no,8932.084
no,3554.203
no,12404.8791
no,14133.03775
no,24603.04837
no,8944.1151
no,9620.3307
no,1837.2819
no,1607.5101
no,10043.249
no,4751.07
yes,13844.506
no,2597.779
no,3180.5101
no,9778.3472
no,13430.265
no,8017.06115
no,8116.26885
no,3481.868
no,13415.0381
no,12029.2867
no,7639.41745
yes,36085.219
no,1391.5287
yes,18033.9679
yes,21659.9301
yes,38126.2465
no,16455.70785
no,27000.98473
yes,15006.57945
yes,42303.69215
no,20781.48892
no,5846.9176
no,8302.53565
no,1261.859
no,11856.4115
no,30284.64294
no,3176.8159
no,4618.0799
no,10736.87075
no,2138.0707
no,8964.06055
no,9290.1395
no,9411.005
no,7526.70645
no,8522.003
no,16586.49771
no,14988.432
no,1631.6683
no,9264.797
no,8083.9198
no,14692.66935
no,10269.46
no,3260.199
no,11396.9002
no,4185.0979
no,8539.671
no,6652.5288
no,4074.4537
no,1621.3402
yes,19594.80965
yes,14455.64405
no,5080.096
no,2134.9015
no,7345.7266
no,9140.951
yes,18608.262
no,14418.2804
yes,28950.4692
yes,46889.2612
yes,46599.1084
yes,39125.33225
no,2727.3951
no,8968.33
no,9788.8659
no,6555.07035
no,7323.734819
no,3167.45585
no,18804.7524
no,23082.95533
no,4906.40965
no,5969.723
no,12638.195
no,4243.59005
no,13919.8229
no,2254.7967
no,5926.846
no,12592.5345
no,2897.3235
no,4738.2682
yes,37079.372
no,1149.3959
no,28287.89766
yes,26109.32905
no,7345.084
no,12730.9996
no,11454.0215
no,5910.944
no,4762.329
no,7512.267
no,4032.2407
no,1969.614
no,1769.53165
no,4686.3887
no,21797.0004
no,11881.9696
no,11840.77505
no,10601.412
no,7682.67
no,10381.4787
yes,22144.032
no,15230.32405
no,11165.41765
no,1632.03625
yes,19521.9682
no,13224.693
no,12643.3778
no,23288.9284
no,2201.0971
no,2497.0383
no,2203.47185
no,1744.465
no,20878.78443
yes,25382.297
yes,28868.6639
yes,35147.52848
no,2534.39375
no,1534.3045
no,1824.2854
no,15555.18875
no,9304.7019
no,1622.1885
no,9880.068
no,9563.029
no,4347.02335
no,12475.3513
no,1253.936
yes,48885.13561
no,10461.9794
no,1748.774
no,24513.09126
no,2196.4732
no,12574.049
yes,17942.106
no,1967.0227
no,4931.647
no,8027.968
no,8211.1002
no,13470.86
yes,36197.699
no,6837.3687
yes,22218.1149
yes,32548.3405
no,5974.3847
no,6796.86325
no,2643.2685
no,3077.0955
no,3044.2133
no,11455.28
no,11763.0009
no,2498.4144
no,9361.3268
no,1256.299
yes,21082.16
no,11362.755
no,27724.28875
no,8413.46305
no,5240.765
no,3857.75925
no,25656.57526
no,3994.1778
no,9866.30485
no,5397.6167
yes,38245.59327
no,11482.63485
no,24059.68019
no,9861.025
no,8342.90875
no,1708.0014
yes,48675.5177
no,14043.4767
no,12925.886
no,19214.70553
no,13831.1152
no,6067.12675
no,5972.378
no,8825.086
no,8233.0975
no,27346.04207
no,6196.448
no,3056.3881
no,13887.204
yes,63770.42801
no,10231.4999
yes,23807.2406
no,3268.84665
no,11538.421
no,3213.62205
yes,45863.205
no,13390.559
no,3972.9247
no,12957.118
no,11187.6567
no,17878.90068
no,3847.674
no,8334.5896
no,3935.1799
yes,39983.42595
no,1646.4297
no,9193.8385
no,10923.9332
no,2494.022
no,9058.7303
no,2801.2588
no,2128.43105
no,6373.55735
no,7256.7231
no,11552.904
yes,45702.02235
no,3761.292
no,2219.4451
no,4753.6368
no,31620.00106
no,13224.05705
no,12222.8983
no,1664.9996
yes,58571.07448
no,9724.53
no,3206.49135
no,12913.9924
no,1639.5631
no,6356.2707
no,17626.23951
no,1242.816
no,4779.6023
no,3861.20965
yes,43943.8761
no,13635.6379
no,5976.8311
no,11842.442
no,8428.0693
no,2566.4707
yes,15359.1045
no,5709.1644
no,8823.98575
no,7640.3092
no,5594.8455
no,7441.501
no,33471.97189
no,1633.0444
no,9174.13565
no,11070.535
no,16085.1275
yes,17468.9839
no,9283.562
no,3558.62025
yes,25678.77845
no,4435.0942
yes,39241.442
no,8547.6913
no,6571.544
no,2207.69745
no,6753.038
no,1880.07
yes,42969.8527
no,11658.11505
yes,23306.547
yes,34439.8559
no,10713.644
no,3659.346
yes,40182.246
no,9182.17
yes,34617.84065
no,12129.61415
no,3736.4647
no,6748.5912
no,11326.71487
no,11365.952
yes,42983.4585
no,10085.846
no,1977.815
no,3366.6697
no,7173.35995
no,9391.346
no,14410.9321
no,2709.1119
no,24915.04626
yes,20149.3229
no,12949.1554
no,6666.243
yes,32787.45859
no,13143.86485
no,4466.6214
no,18806.14547
no,10141.1362
no,6123.5688
no,8252.2843
no,1712.227
no,12430.95335
no,9800.8882
no,10579.711
no,8280.6227
no,8527.532
no,12244.531
yes,24667.419
no,3410.324
no,4058.71245
no,26392.26029
no,14394.39815
no,6435.6237
no,22192.43711
no,5148.5526
no,1136.3994
yes,27037.9141
yes,42560.4304
no,8703.456
yes,40003.33225
yes,45710.20785
no,6500.2359
no,4837.5823
no,3943.5954
no,4399.731
no,6185.3208
yes,46200.9851
no,7222.78625
no,12485.8009
yes,46130.5265
no,12363.547
no,10156.7832
no,2585.269
no,1242.26
yes,40103.89
no,9863.4718
no,4766.022
no,11244.3769
no,7729.64575
no,5438.7491
no,26236.57997
yes,34806.4677
no,2104.1134
no,8068.185
no,2362.22905
no,2352.96845
no,3577.999
no,3201.24515
no,29186.48236
yes,40273.6455
no,10976.24575
no,3500.6123
no,2020.5523
no,9541.69555
no,9504.3103
no,5385.3379
no,8930.93455
no,5375.038
yes,44400.4064
no,10264.4421
no,6113.23105
no,5469.0066
no,1727.54
no,10107.2206
no,8310.83915
no,1984.4533
no,2457.502
no,12146.971
no,9566.9909
no,13112.6048
no,10848.1343
no,12231.6136
no,9875.6804
no,11264.541
no,12979.358
no,1263.249
no,10106.13425
yes,40932.4295
no,6664.68595
yes,16657.71745
no,2217.6012
no,6781.3542
yes,19361.9988
no,10065.413
no,4234.927
no,9447.25035
no,14007.222
no,9583.8933
yes,40419.0191
no,3484.331
yes,36189.1017
yes,44585.45587
no,8604.48365
yes,18246.4955
yes,43254.41795
no,3757.8448
no,8827.2099
no,9910.35985
no,11737.84884
no,1627.28245
no,8556.907
no,3062.50825
yes,19539.243
no,1906.35825
no,14210.53595
no,11833.7823
no,17128.42608
no,5031.26955
no,7985.815
yes,23065.4207
no,5428.7277
yes,36307.7983
no,3925.7582
no,2416.955
yes,19040.876
no,3070.8087
no,9095.06825
no,11842.62375
no,8062.764
no,7050.642
no,14319.031
no,6933.24225
no,27941.28758
no,11150.78
no,12797.20962
yes,17748.5062
no,7261.741
no,10560.4917
no,6986.697
no,7448.40395
no,5934.3798
no,9869.8102
yes,18259.216
no,1146.7966
no,9386.1613
yes,24520.264
no,4350.5144
no,6414.178
no,12741.16745
no,1917.3184
no,5209.57885
no,13457.9608
no,5662.225
no,1252.407
no,2731.9122
yes,21195.818
no,7209.4918
yes,18310.742
no,4266.1658
no,4719.52405
no,11848.141
yes,17904.52705
no,7046.7222
no,14313.8463
no,2103.08
yes,38792.6856
no,1815.8759
no,7731.85785
no,28476.73499
no,2136.88225
no,1131.5066
no,3309.7926
no,9414.92
no,6360.9936
no,11013.7119
no,4428.88785
no,5584.3057
no,1877.9294
no,2842.76075
no,3597.596
yes,23401.30575
yes,55135.40209
no,7445.918
no,2680.9493
no,1621.8827
no,8219.2039
no,12523.6048
no,16069.08475
yes,43813.8661
yes,20773.62775
yes,39597.4072
no,6117.4945
no,13393.756
no,5266.3656
no,4719.73655
no,11743.9341
no,5377.4578
no,7160.3303
no,4402.233
no,11657.7189
no,6402.29135
no,12622.1795
no,1526.312
no,12323.936
yes,36021.0112
yes,27533.9129
no,10072.05505
yes,45008.9555
no,9872.701
no,2438.0552
no,2974.126
no,10601.63225
yes,37270.1512
no,14119.62
yes,42111.6647
no,11729.6795
yes,24106.91255
no,1875.344
yes,40974.1649
yes,15817.9857
no,18218.16139
no,10965.446
yes,46113.511
no,7151.092
no,12269.68865
no,5458.04645
no,8782.469
no,6600.361
no,1141.4451
no,11576.13
no,13129.60345
no,4391.652
no,8457.818
no,3392.3652
no,5966.8874
no,6849.026
no,8891.1395
no,2690.1138
no,26140.3603
no,6653.7886
no,6282.235
no,6311.952
no,3443.064
no,2789.0574
no,2585.85065
yes,46255.1125
no,4877.98105
yes,19719.6947
yes,27218.43725
no,5272.1758
no,1682.597
no,11945.1327
yes,29330.98315
no,7243.8136
no,10422.91665
yes,44202.6536
no,13555.0049
no,13063.883
yes,19798.05455
no,2221.56445
no,1634.5734
no,2117.33885
no,8688.85885
yes,48673.5588
no,4661.28635
no,8125.7845
no,12644.589
no,4564.19145
no,4846.92015
no,7633.7206
no,15170.069
yes,17496.306
no,2639.0429
yes,33732.6867
no,14382.70905
no,7626.993
no,5257.50795
no,2473.3341
yes,21774.32215
yes,35069.37452
no,13041.921
no,5245.2269
no,13451.122
no,13462.52
no,5488.262
no,4320.41085
no,6250.435
no,25333.33284
no,2913.569
no,12032.326
no,13470.8044
no,6289.7549
no,2927.0647
no,6238.298
no,10096.97
no,7348.142
no,4673.3922
no,12233.828
no,32108.66282
no,8965.79575
no,2304.0022
no,9487.6442
no,1121.8739
no,9549.5651
no,2217.46915
no,1628.4709
no,12982.8747
no,11674.13
no,7160.094
yes,39047.285
no,6358.77645
yes,19933.458
no,11534.87265
yes,47462.894
no,4527.18295
yes,38998.546
yes,20009.63365
no,3875.7341
yes,41999.52
no,12609.88702
yes,41034.2214
no,28468.91901
no,2730.10785
no,3353.284
no,14474.675
no,9500.57305
no,26467.09737
no,4746.344
yes,23967.38305
no,7518.02535
no,3279.86855
no,8596.8278
no,10702.6424
no,4992.3764
no,2527.81865
no,1759.338
no,2322.6218
yes,16138.76205
no,7804.1605
no,2902.9065
no,9704.66805
no,4889.0368
no,25517.11363
no,4500.33925
yes,19199.944
no,16796.41194
no,4915.05985
no,7624.63
no,8410.04685
no,28340.18885
no,4518.82625
yes,14571.8908
no,3378.91
no,7144.86265
no,10118.424
no,5484.4673
yes,16420.49455
no,7986.47525
no,7418.522
no,13887.9685
no,6551.7501
no,5267.81815
yes,17361.7661
yes,34472.841
no,1972.95
no,21232.18226
no,8627.5411
no,4433.3877
no,4438.2634
yes,24915.22085
no,23241.47453
no,9957.7216
no,8269.044
yes,18767.7377
no,36580.28216
no,8765.249
no,5383.536
no,12124.9924
no,2709.24395
no,3987.926
no,12495.29085
no,26018.95052
no,8798.593
yes,35595.5898
yes,42211.1382
no,1711.0268
no,8569.8618
no,2020.177
yes,16450.8947
no,21595.38229
no,9850.432
no,6877.9801
yes,21677.28345
yes,44423.803
no,4137.5227
yes,13747.87235
no,12950.0712
no,12094.478
yes,37484.4493
yes,39725.51805
no,2250.8352
no,22493.65964
yes,20234.85475
no,1704.70015
yes,33475.81715
no,3161.454
no,11394.06555
yes,21880.82
no,7325.0482
yes,44501.3982
no,3594.17085
yes,39727.614
no,8023.13545
no,14394.5579
no,9288.0267
yes,25309.489
no,3353.4703
no,10594.50155
no,8277.523
no,17929.30337
no,2480.9791
no,4462.7218
no,1981.5819
no,11554.2236
yes,48970.2476
no,6548.19505
no,5708.867
no,7045.499
no,8978.1851
no,5757.41345
no,14349.8544
no,10928.849
yes,39871.7043
no,13974.45555
no,1909.52745
no,12096.6512
no,13204.28565
no,4562.8421
no,8551.347
no,2102.2647
yes,34672.1472
no,15161.5344
no,11884.04858
no,4454.40265
no,5855.9025
no,4076.497
no,15019.76005
yes,19023.26
no,10796.35025
no,11353.2276
no,9748.9106
no,10577.087
yes,41676.0811
no,11286.5387
no,3591.48
yes,33907.548
no,11299.343
no,4561.1885
yes,44641.1974
no,1674.6323
no,23045.56616
no,3227.1211
yes,16776.30405
no,11253.421
no,3471.4096
no,11363.2832
no,20420.60465
no,10338.9316
no,8988.15875
no,10493.9458
no,2904.088
no,8605.3615
no,11512.405
yes,41949.2441
yes,24180.9335
no,5312.16985
no,2396.0959
no,10807.4863
no,9222.4026
yes,36124.5737
yes,38282.7495
no,5693.4305
yes,34166.273
no,8347.1643
yes,46661.4424
no,18903.49141
yes,40904.1995
no,14254.6082
no,10214.636
no,5836.5204
no,14358.36437
no,1728.897
no,8582.3023
no,3693.428
no,20709.02034
no,9991.03765
no,19673.33573
no,11085.5868
no,7623.518
no,3176.2877
no,3704.3545
yes,36898.73308
no,9048.0273
no,7954.517
no,27117.99378
no,6338.0756
no,9630.397
no,11289.10925
yes,52590.82939
no,2261.5688
no,10791.96
no,5979.731
no,2203.73595
no,12235.8392
yes,40941.2854
no,5630.45785
no,11015.1747
no,7228.21565
yes,39722.7462
no,14426.07385
no,2459.7201
no,3989.841
no,7727.2532
no,5124.1887
no,18963.17192
no,2200.83085
no,7153.5539
no,5227.98875
no,10982.5013
no,4529.477
no,4670.64
no,6112.35295
yes,17178.6824
yes,22478.6
no,11093.6229
no,6457.8434
no,4433.9159
no,2154.361
yes,23887.6627
no,6496.886
no,2899.48935
yes,19350.3689
no,7650.77375
no,2850.68375
no,2632.992
no,9447.3824
yes,18328.2381
no,8603.8234
yes,37465.34375
no,13844.7972
yes,21771.3423
no,13126.67745
no,5327.40025
no,13725.47184
no,13019.16105
no,8671.19125
no,4134.08245
no,18838.70366
yes,33307.5508
no,5699.8375
no,6393.60345
no,4934.705
no,6198.7518
no,8733.22925
no,2055.3249
no,9964.06
yes,18223.4512
no,5116.5004
no,36910.60803
yes,38415.474
yes,20296.86345
no,12347.172
no,5373.36425
no,23563.01618
no,1702.4553
no,10806.839
no,3956.07145
no,12890.05765
no,5415.6612
no,4058.1161
yes,41661.602
no,7537.1639
no,4718.20355
no,6593.5083
no,8442.667
yes,26125.67477
no,6858.4796
no,4795.6568
no,6640.54485
no,7162.0122
no,10594.2257
no,11938.25595
yes,60021.39897
yes,20167.33603
no,12479.70895
no,11345.519
no,8515.7587
no,2699.56835
no,14449.8544
no,12224.35085
no,6985.50695
no,3238.4357
yes,47269.854
yes,49577.6624
no,4296.2712
no,3171.6149
no,1135.9407
no,5615.369
no,9101.798
no,6059.173
no,1633.9618
yes,37607.5277
yes,18648.4217
no,1241.565
yes,16232.847
no,15828.82173
no,4415.1588
no,6474.013
no,11436.73815
no,11305.93455
no,30063.58055
no,10197.7722
no,4544.2348
no,3277.161
no,6770.1925
no,7337.748
no,10370.91255
yes,26926.5144
no,10704.47
yes,34254.05335
no,1880.487
no,8615.3
no,3292.52985
no,3021.80915
no,14478.33015
no,4747.0529
yes,17043.3414
no,10959.33
no,2741.948
no,4357.04365
yes,22462.04375
no,4189.1131
no,8283.6807
yes,24535.69855
yes,14283.4594
no,1720.3537
yes,47403.88
no,8534.6718
no,3732.6251
no,5472.449
yes,38344.566
no,7147.4728
no,7133.9025
yes,34828.654
no,1515.3449
no,9301.89355
no,11931.12525
no,1964.78
no,1708.92575
no,4340.4409
no,5261.46945
no,2710.82855
yes,62592.87309
yes,46718.16325
no,3208.787
yes,37829.7242
yes,21259.37795
no,2464.6188
yes,16115.3045
yes,21472.4788
yes,33900.653
no,6875.961
no,6940.90985
no,4571.41305
no,4536.259
yes,36397.576
yes,18765.87545
no,11272.33139
no,1731.677
no,1163.4627
no,19496.71917
no,7201.70085
no,5425.02335
yes,28101.33305
no,12981.3457
yes,43896.3763
no,4239.89265
no,13143.33665
no,7050.0213
no,9377.9047
no,22395.74424
no,10325.206
no,12629.1656
no,10795.93733
no,11411.685
no,10600.5483
no,2205.9808
no,1629.8335
no,2007.945
yes,29141.3603
